NZ_CABWWN010000001.1	127998	128021	iroC	1214	1237	95.833	0.004
NZ_RYJR01000141.1	100	552	iroD	1	453	100.000	0.0
NZ_UJAT01000020.1	19234	21024	iucA	1791	1	97.990	0.0
NZ_UJAT01000020.1	16553	18286	iucC	1734	1	99.020	0.0
NZ_UJAT01000020.1	15277	16549	iucD	1273	1	97.408	0.0
NZ_UJAT01000020.1	18286	19233	iucB	948	1	97.785	0.0
NZ_USZY01000020.1	117465	117488	iroC	1214	1237	95.833	0.004
NZ_VIXR01000027.1	60034	61824	iucA	1791	1	100.000	0.0
NZ_VIXR01000027.1	57353	59086	iucC	1734	1	99.135	0.0
NZ_VIXR01000027.1	56072	57349	iucD	1278	1	99.922	0.0
NZ_VIXR01000027.1	59086	60033	iucB	948	1	100.000	0.0
NZ_VIXR01000027.1	48265	48899	rmpA2	1	639	99.218	0.0
NZ_VIXR01000027.1	48265	48881	rmpA	1	616	84.194	0.0
NZ_VIXR01000027.1	63881	63965	iroC	1936	2020	92.941	3.67e-30
NZ_VIXR01000027.1	49306	49349	rmpC	1	44	93.182	1.05e-11
NZ_CABWWN010000011.1	160586	160606	iucA	1558	1538	100.000	0.008
NZ_RYJR01000229.1	1	239	iroD	992	1230	100.000	3.17e-124
NZ_RYJR01000040.1	16910	18700	iucA	1791	1	100.000	0.0
NZ_RYJR01000040.1	14229	15962	iucC	1734	1	99.135	0.0
NZ_RYJR01000040.1	12948	14225	iucD	1278	1	99.922	0.0
NZ_RYJR01000040.1	15962	16909	iucB	948	1	100.000	0.0
NZ_RYJR01000040.1	5142	5776	rmpA2	1	639	99.218	0.0
NZ_RYJR01000040.1	5142	5758	rmpA	1	616	84.194	0.0
NZ_RYJR01000040.1	20757	20841	iroC	1936	2020	92.941	1.97e-30
NZ_RYJR01000040.1	6182	6225	rmpC	1	44	93.182	5.64e-12
NZ_JAEEEM010000008.1	22370	22393	iroC	1214	1237	95.833	0.006
NZ_JAEEEM010000009.1	216657	216677	iucA	1538	1558	100.000	0.006
NZ_USZY01000028.1	87264	87284	iucA	1558	1538	100.000	0.003
NZ_RYJR01000284.1	1	275	iroC	3121	3395	100.000	7.37e-144
NZ_CP017286.1	24066	24085	iroD	522	541	100.000	0.007
NZ_UFFS01000010.1	72567	72586	iroD	541	522	100.000	0.007
NZ_CAESWW010000001.1	3569833	3570086	iroD	862	1118	67.054	5.67e-12
NZ_QIWX01000010.1	145738	145758	iucA	1558	1538	100.000	0.005
NZ_QSOA01000015.1	6274	8064	iucA	1	1791	100.000	0.0
NZ_QSOA01000015.1	9012	10745	iucC	1	1734	99.077	0.0
NZ_QSOA01000015.1	10749	12026	iucD	1	1278	99.922	0.0
NZ_QSOA01000015.1	8065	9012	iucB	1	948	100.000	0.0
NZ_QSOA01000015.1	19198	19833	rmpA2	639	1	99.218	0.0
NZ_QSOA01000015.1	19216	19833	rmpA	616	1	84.355	0.0
NZ_QSOA01000015.1	4133	4217	iroC	2020	1936	92.941	5.28e-30
NZ_QSOA01000015.1	18749	18792	rmpC	44	1	93.182	1.51e-11
